City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Cururupu,BR,-1.8283,-44.8683,82.13,83,28,3.85,scattered clouds
195,Saint-Philippe,RE,-21.3585,55.7679,72.99,69,82,13.06,broken clouds
196,Ketchikan,US,55.3422,-131.6461,50.47,93,75,6.91,light rain
197,Tuatapere,NZ,-46.1333,167.6833,45.43,91,93,4.34,overcast clouds
198,Urgut,UZ,39.4022,67.2431,56.82,75,48,3.85,scattered clouds
199,Hobyo,SO,5.3505,48.5268,78.8,85,17,20.0,few clouds
200,Marsassoum,SN,12.8275,-15.9806,96.89,35,96,4.99,overcast clouds
201,Laguna,US,38.421,-121.4238,67.28,65,0,8.05,clear sky
202,Alofi,NU,-19.0595,-169.9187,75.09,94,98,3.44,overcast clouds
203,Russell,US,32.3502,-85.1999,79.92,53,20,5.75,few clouds
204,Cap Malheureux,MU,-19.9842,57.6142,73.47,71,2,4.0,clear sky
205,Martin,US,27.0837,-80.4164,91.94,59,1,1.01,clear sky
206,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,76,100,8.99,overcast clouds
207,Mtinko,TZ,-4.55,34.85,67.32,61,97,8.41,overcast clouds
208,Meulaboh,ID,4.1363,96.1285,76.98,85,89,4.23,overcast clouds
209,Tiksi,RU,71.6872,128.8694,28.33,93,100,2.37,overcast clouds
210,Muzhi,RU,65.3667,64.6667,63.93,44,20,19.51,few clouds
211,Andros Town,BS,24.7,-77.7667,85.96,66,22,13.67,few clouds
212,Oussouye,SN,12.485,-16.5469,96.98,48,99,7.36,overcast clouds
213,Gat,IL,31.61,34.7642,83.39,100,1,9.78,clear sky
214,Safita,SY,34.8205,36.1153,73.71,45,0,1.43,clear sky
215,Quatre Cocos,MU,-20.2078,57.7625,75.31,74,5,20.09,clear sky
216,Lucapa,AO,-8.4192,20.7447,73.83,32,0,1.92,clear sky
217,Rabo De Peixe,PT,37.8,-25.5833,65.28,91,75,16.11,broken clouds
218,San Nicolas,PH,18.1725,120.5953,80.73,82,45,4.03,scattered clouds
219,Lompoc,US,34.6391,-120.4579,68.56,90,100,10.36,overcast clouds
220,Matara,LK,5.9485,80.5353,77.36,92,99,8.68,overcast clouds
221,Acapulco,MX,16.8634,-99.8901,85.82,66,100,8.05,overcast clouds
222,Port Blair,IN,11.6667,92.75,84.24,84,75,11.5,mist
223,Grindavik,IS,63.8424,-22.4338,57.15,71,75,24.16,broken clouds
224,Grong,NO,64.4654,12.3149,43.38,96,100,9.37,light rain
225,Erzin,TR,36.9559,36.2,76.21,51,3,3.71,clear sky
226,Jumla,NP,29.2747,82.1838,56.93,92,79,1.66,broken clouds
227,Henties Bay,NA,-22.116,14.2845,57.49,91,41,11.52,scattered clouds
228,Patacamaya,BO,-17.2333,-67.9167,54.88,22,0,7.99,clear sky
229,Micheweni,TZ,-4.9667,39.8333,78.82,72,54,15.05,broken clouds
230,Valparaiso,CL,-33.0393,-71.6273,53.83,75,0,5.75,haze
231,Udachnyy,RU,66.4167,112.4,46.45,39,74,8.25,broken clouds
232,Tilichiki,RU,60.4667,166.1,35.26,99,100,3.56,light snow
233,Upernavik,GL,72.7868,-56.1549,28.54,73,40,3.94,scattered clouds
234,Kalangala,UG,-0.3089,32.225,72.75,67,67,9.8,broken clouds
235,Wewak,PG,-3.5534,143.6268,79.57,78,7,2.53,clear sky
236,Laguna Beach,US,33.5423,-117.7831,66.06,83,100,5.75,overcast clouds
237,Mount Gambier,AU,-37.8333,140.7667,46.31,93,75,3.44,broken clouds
238,Chuy,UY,-33.6971,-53.4616,59.79,62,9,5.5,clear sky
239,Lagoa,PT,39.05,-27.9833,59.56,61,100,16.13,overcast clouds
240,Kapoeta,SS,4.7717,33.5903,83.01,49,85,2.17,overcast clouds
241,Grand Baie,MU,-20.0182,57.5802,75.67,72,2,3.0,clear sky
242,Koygorodok,RU,60.445,50.9968,49.15,97,96,5.3,overcast clouds
243,Venado Tuerto,AR,-33.7456,-61.9688,61.77,43,21,6.02,few clouds
244,Cabinda,AO,-5.55,12.2,80.74,69,20,8.05,few clouds
245,Skibbereen,IE,51.55,-9.2667,61.11,74,17,9.93,few clouds
246,Ulladulla,AU,-35.35,150.4667,55.42,86,94,8.66,overcast clouds
247,Tessalit,ML,20.1986,1.0114,107.67,6,35,5.28,scattered clouds
248,Biak,ID,-0.9131,122.8766,75.45,84,61,3.02,broken clouds
249,Omboue,GA,-1.5746,9.2618,75.45,84,48,8.16,scattered clouds
250,Broome,US,42.2506,-75.833,67.98,86,100,9.22,overcast clouds
251,Carnarvon,AU,-24.8667,113.6333,68.18,75,100,13.42,overcast clouds
252,Mar Del Plata,AR,-38.0023,-57.5575,57.09,61,0,11.5,clear sky
253,Nemuro,JP,43.3236,145.575,46.76,89,97,21.54,overcast clouds
254,Pascagoula,US,30.3658,-88.5561,83.55,54,0,0.0,clear sky
255,Lasa,IT,46.6166,10.7002,65.28,76,86,5.75,overcast clouds
256,Esperance,AU,-33.8667,121.9,56.03,66,69,29.97,light rain
257,Kasane,BW,-17.8167,25.15,66.18,38,0,7.07,clear sky
258,Fortuna,US,40.5982,-124.1573,57.92,87,75,13.8,broken clouds
259,Pangnirtung,CA,66.1451,-65.7125,32.0,64,100,3.44,overcast clouds
260,Mordovo,RU,52.0834,40.77,52.63,76,6,7.78,clear sky
261,Moose Factory,CA,51.2585,-80.6094,50.0,71,100,5.75,overcast clouds
262,Ponta Do Sol,PT,32.6667,-17.1,71.13,58,84,10.6,broken clouds
263,Cherskiy,RU,68.75,161.3,36.05,57,5,4.18,clear sky
264,Copiapo,CL,-27.3667,-70.3333,53.29,40,0,6.69,clear sky
265,Chokurdakh,RU,70.6333,147.9167,27.55,92,78,3.69,broken clouds
266,Bengkulu,ID,-3.8004,102.2655,75.45,89,85,6.64,overcast clouds
267,Manokwari,ID,-0.8667,134.0833,77.59,82,6,3.98,clear sky
268,Clyde River,CA,70.4692,-68.5914,25.03,86,75,12.66,broken clouds
269,Santa Rosa,PH,14.3122,121.1114,80.58,89,82,5.73,broken clouds
270,Safaga,EG,26.7292,33.9365,84.29,46,0,2.73,clear sky
271,Inverell,AU,-29.7833,151.1167,52.66,97,85,3.4,overcast clouds
272,Chimoio,MZ,-19.1164,33.4833,66.06,100,75,5.75,broken clouds
273,Tombouctou,ML,20.0,-3.0,108.82,8,13,7.23,few clouds
274,Bilibino,RU,68.0546,166.4372,36.91,64,91,2.15,overcast clouds
275,Hualmay,PE,-11.0964,-77.6139,68.61,69,63,11.1,broken clouds
276,Cabo San Lucas,MX,22.8909,-109.9124,90.61,55,6,1.07,clear sky
277,Cockburn Town,TC,21.4612,-71.1419,80.37,76,7,19.08,clear sky
278,Narasannapeta,IN,18.4167,84.05,86.54,69,52,12.15,broken clouds
279,Leh,IN,34.1667,77.5833,55.31,39,78,5.64,broken clouds
280,Katsuura,JP,35.1333,140.3,66.49,89,97,8.55,overcast clouds
281,Gizo,SB,-8.103,156.8419,81.5,73,48,2.35,light rain
282,Dublyany,UA,49.9041,24.0864,55.0,62,65,8.59,broken clouds
283,Pacific Grove,US,36.6177,-121.9166,65.41,84,40,4.0,scattered clouds
284,Guerrero,MX,17.6667,-100.0,82.27,47,100,5.03,overcast clouds
285,San Quintin,MX,30.4833,-115.95,65.23,66,78,14.63,broken clouds
286,Richards Bay,ZA,-28.783,32.0377,69.01,75,0,9.44,clear sky
287,Ilulissat,GL,69.2167,-51.1,34.0,85,100,10.92,overcast clouds
288,Faya,SA,18.3851,42.4509,75.72,44,17,6.55,few clouds
289,Waipawa,NZ,-41.4122,175.5153,42.8,89,5,4.52,clear sky
290,Lapua,FI,62.9693,23.0088,51.22,85,100,3.11,overcast clouds
291,Jinhua,CN,29.1078,119.6547,66.54,98,100,0.63,light rain
292,Moscow,RU,55.7522,37.6156,53.64,77,100,10.51,overcast clouds
293,Plettenberg Bay,ZA,-34.0527,23.3716,60.6,82,25,5.32,scattered clouds
294,Walvis Bay,NA,-22.9575,14.5053,61.75,67,6,13.8,clear sky
295,Evensk,RU,61.95,159.2333,39.7,96,100,2.19,light rain
296,Marawi,PH,7.9986,124.2928,68.76,85,100,3.33,overcast clouds
297,Pevek,RU,69.7008,170.3133,28.33,77,77,4.7,broken clouds
