City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Shache,CN,81.79,overcast clouds,38.4167,77.2406,Delong Hotel
430,Owando,CG,78.3,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
432,Basco,PH,83.71,broken clouds,20.4487,121.9702,Nathaniel's Lodge
433,Salvador,SV,84.06,scattered clouds,13.8333,-88.9167,Chico's Ranch
444,Nishihara,JP,75.25,mist,26.1842,127.7558,Minshuku Agaihama
445,Tucurui,BR,86.07,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
447,Acarau,BR,82.17,scattered clouds,-2.8856,-40.12,castelo pizzaria
449,Grand-Lahou,CI,82.71,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
454,Darab,IR,83.39,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
461,Kutum,SD,85.78,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
462,Paragominas,BR,86.43,scattered clouds,-2.9667,-47.4833,INOVA
464,Nova Olinda Do Norte,BR,86.83,scattered clouds,-3.8881,-59.0942,Casa Juazeiro
465,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
467,Buala,SB,79.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
472,Gra Liyia,GR,80.13,clear sky,35.0167,25.6833,Diktynna Traditional Villas
477,Moorhead,US,75.97,clear sky,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
478,Lubao,PH,82.11,broken clouds,14.9167,120.55,Hacienda Gracia
480,Mitsamiouli,KM,79.11,light rain,-11.3847,43.2844,Foyer ADM
483,Gwadar,PK,82.44,clear sky,25.1216,62.3254,Sadaf Resort
486,Vilhena,BR,82.62,broken clouds,-12.7406,-60.1458,Hotel Mirage
487,San Policarpo,PH,78.71,overcast clouds,12.1791,125.5072,Agapita M. Nicart
489,Suez,EG,82.27,clear sky,29.9737,32.5263,Green House
491,Brigantine,US,79.09,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
493,Methoni,GR,79.21,scattered clouds,36.8197,21.7049,Methoni Beach Hotel
499,Gorontalo,ID,75.22,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
